id,name,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
0InoFSsOikNEvWslL7nxrZ,Lssr,"['$hoey', 'YGTUT', 'Chris P']",TRUE,0.719,0.553,1,-8.217,1,0.421,0.109,0,0.16,0.531,139.422,123481,4,2017
78UTOnztvQ2RzoILHtEnUj,Juice,"['$hoey', 'YGTUT', 'Chris P']",TRUE,0.742,0.464,2,-8.768,1,0.48,0.22,0,0.0584,0.244,149.835,182126,4,2017
6PyyedcQDh6uC0PanLBP4t,Dis Ain't Watcha Want,"['$hoey', 'YGTUT', 'Jace']",TRUE,0.769,0.589,1,-10.464,0,0.232,0.731,0,0.114,0.547,140.06,178338,4,2017
6BQguHQf0rC5boTys8fmwh,Exhale,"['$hoey', 'YGTUT', 'Michael Da Vinci']",TRUE,0.732,0.515,5,-10.169,0,0.461,0.0982,0,0.116,0.424,130.132,239308,4,2017
2FQsJFlmg1txIoX1Oy2RXi,Lil Stoney,"['$hoey', 'YGTUT', 'Michael Da Vinci']",TRUE,0.77,0.593,9,-9.794,1,0.238,0.61,0,0.143,0.802,119.104,163422,4,2017
4rSAuFvVZU5wWNH3a1CUyA,Terror,"['$hoey', 'YGTUT']",TRUE,0.879,0.694,8,-6.572,0,0.115,0.0571,1.63E-05,0.101,0.365,83,182230,4,2017
4ZbziLByENmylS8CcR6c4t,Keep Moven Forward,"['$hoey', 'YGTUT']",TRUE,0.628,0.543,2,-8.027,1,0.382,0.16,0,0.111,0.317,140.014,185234,4,2017
6ObAxx3XdPYKN6C25AK3YR,Summa Jam,"['$hoey', 'YGTUT', 'BbyMutha', 'Michael Da Vinci']",TRUE,0.784,0.601,9,-9.37,0,0.35,0.0537,0,0.137,0.448,130.06,195448,4,2017
0xxeywoLtoXvFKDlQGoHMk,"Don't Let Him Go - Live at Kemper Arena, Kansas City, MO - January 1985",['REO Speedwagon'],FALSE,0.487,0.938,0,-8.678,1,0.0516,0.000248,0.00112,0.731,0.537,108.702,254600,4,1991
1hxXHp5mDuT6GzozNUjYFS,"Tough Guys - Live at Kemper Arena, Kansas City, MO - January 1985",['REO Speedwagon'],FALSE,0.445,0.942,7,-7.719,1,0.0454,0.000475,0.137,0.968,0.645,141.221,217600,4,1991
6mlCXKQrWtvJVRsHNMI7BT,"Take It On The Run - Live at Kemper Arena, Kansas City, MO - January 1985",['REO Speedwagon'],FALSE,0.369,0.74,7,-8.023,1,0.0374,0.00813,0,0.91,0.536,75.871,256533,4,1991
1qkMYQJJ1aj0RGSBWbr0oD,"Keep The Fire Burnin' - Live at Metro Center, Rockford, IL - January 1983",['REO Speedwagon'],FALSE,0.383,0.711,0,-10.915,1,0.0427,0.0025,0.00012,0.943,0.566,104.379,278373,4,1991
3vGBQoOPJ4f63t1yJ8s52f,"Roll With The Changes - Live at Kemper Arena, Kansas City, MO - January 1985",['REO Speedwagon'],FALSE,0.433,0.785,0,-9.513,1,0.0497,0.0788,0.00137,0.933,0.517,99.775,323027,4,1991
2J4UBkbTPh3CjYFURWddR3,"I Do' Wanna Know - Live at Kemper Arena, Kansas City, MO - January 1985",['REO Speedwagon'],FALSE,0.234,0.95,7,-8.126,1,0.0834,0.00292,7.76E-06,0.976,0.54,157.05,254200,4,1991
0DEdJCVjbY8FlvxPRv4z7l,"Can't Fight This Feeling - Live at Kemper Arena, Kansas City, MO - January 1985",['REO Speedwagon'],FALSE,0.447,0.477,9,-11.793,1,0.027,0.16,0,0.451,0.336,77.407,295267,4,1991
7hEGIxFvLzAQUnREVFGz2d,Live Every Moment,['REO Speedwagon'],FALSE,0.514,0.872,9,-8.705,1,0.0284,0.033,0.000285,0.424,0.949,156.836,298707,4,1991
0yrDRUXQthsEJ00sbzAVVv,"That Ain't Love - Live at Kiel Auditorium, St. Louis, MO - January 1987",['REO Speedwagon'],FALSE,0.347,0.965,11,-7.842,0,0.179,0.0104,0,0.981,0.366,134.58,258560,4,1991
0Sjw3V3Ed6D9NQqo7bcdmw,One Too Many Girlfriends,['REO Speedwagon'],FALSE,0.531,0.937,0,-7.029,1,0.0404,0.00238,4.14E-05,0.445,0.749,156.334,236107,4,1991
